# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1737673742358000000,1737673759458000000,0
jps.global.get.library.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1737673742358000000,1737673759458000000,0
workspaceModel.load.cache.from.file.ms,1737673742358000000,1737673759458000000,1
jps.global.initialize.library.bridges.ms,1737673742358000000,1737673759458000000,0
jps.global.get.libraries.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1737673742358000000,1737673759458000000,0
workspaceModel.global.updates.count,1737673742358000000,1737673759458000000,0
jps.save.global.entities.ms,1737673742358000000,1737673759458000000,78
workspaceModel.mutableEntityStorage.to.snapshot.ms,1737673742358000000,1737673759458000000,1
workspaceModel.mutableEntityStorage.instances.count,1737673742358000000,1737673759458000000,1
jps.app.storage.content.writer.save.component.ms,1737673742358000000,1737673759458000000,2
jps.library.entities.serializer.load.entities.ms,1737673742358000000,1737673759458000000,1
workspaceModel.load.cache.metadata.from.file.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1737673742358000000,1737673759458000000,0
workspaceModel.global.apply.state.to.project.ms,1737673742358000000,1737673759458000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1737673742358000000,1737673759458000000,0
workspaceModel.sync.entities.ms,1737673742358000000,1737673759458000000,0
jps.global.initialize.library.bridges.after.loading.ms,1737673742358000000,1737673759458000000,4
workspaceModel.save.cache.to.file.ms,1737673742358000000,1737673759458000000,0
cacheStateStorage.get.duration,1737673742358000000,1737673759458000000,0
cacheStateStorage.set.counter,1737673742358000000,1737673759458000000,1
cacheStateStorage.get.counter,1737673742358000000,1737673759458000000,2
cacheStateStorage.set.duration,1737673742358000000,1737673759458000000,9
AWTEventQueue.dispatchTimeTotalNS,1737673742358000000,1737673759458000000,3194521900
workspaceModel.entityStorageSnapshotImpl.instances.count,1737673742358000000,1737673759458000000,2
